127.0.0.1 - - [19/Jan/2020:22:17:17 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:18:48 +0530] "POST /forestmanagementrest/getlistaccount HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:18:57 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:20:18 +0530] "POST /forestmanagementrest/addaccount HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:20:44 +0530] "POST /forestmanagementrest/auth HTTP/1.1" 500 3402
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:21:03 +0530] "POST /forestmanagementrest/auth HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:21:12 +0530] "POST /forestmanagementrest/auth HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:21:25 +0530] "POST /forestmanagementrest/auth HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [19/Jan/2020:22:21:33 +0530] "POST /forestmanagementrest/auth HTTP/1.1" 200 102
